Name,Passed,Failed,Incomplete,Duration,Details
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=BatteryThermalModel.mlx),1,0,0,22.4084258,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=Classification.mlx),1,0,0,3.5788249,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=Diffusion.mlx),1,0,0,3.450671,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=FiniteDifference.mlx),1,0,0,32.2756325,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=ImplementExplicitSolver.mlx),1,0,0,2.7094577,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=MethodOfCharacteristics.mlx),1,0,0,171.4990177,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=ReactionDiffusion.mlx),1,0,0,22.0052436,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=TrafficModel.mlx),1,0,0,15.6066223,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=Ultrasound.mlx),1,0,0,24.5459335,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=MainMenu.mlx),1,0,0,2.0550303,
SmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(Scripts=README.mlx),1,0,0,0.6224516,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/ExistSolns,1,0,0,0.6084408,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(SolnScripts=BatteryThermalModelSoln.mlx),1,0,0,28.1753982,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(SolnScripts=ClassificationSoln.mlx),1,0,0,1.2228648,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(SolnScripts=DiffusionSoln.mlx),1,0,0,0.5412731,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(SolnScripts=FiniteDifferenceSoln.mlx),1,0,0,138.6983225,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(SolnScripts=ImplementExplicitSolverSoln.mlx),1,0,0,0.2660137,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(SolnScripts=MethodOfCharacteristicsSoln.mlx),1,0,0,164.7554908,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(SolnScripts=ReactionDiffusionSoln.mlx),1,0,0,29.898066,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(SolnScripts=TrafficModelSoln.mlx),1,0,0,141.0327358,
SolnSmokeTests[Project=Applied_Partial_Differential_Equations]/SmokeRun(SolnScripts=UltrasoundSoln.mlx),1,0,0,59.1987921,
